student  id,study hours,sleep hours,social media hours,attendance,marks,stress level,category
1,6,7,1,92,92.5,medium,topper
2,3.5,5.5,4,68,65.5,medium,average
3,1,4,6.5,65,41,low,low
4,4,6,3,75,70,medium,average
5,7,7,1,90,92,medium,topper
6,5,5,2.5,79,70.5,medium,average
7,3.5,6.5,4,75,75,medium,average
8,2,5,5,60,44,low,low
9,3,7,4,65,67.5,medium,average
10,5.5,8,2,89,87,medium,topper
11,4.5,5,2.5,67,69,medium,average
12,1.5,4.5,5.5,60,56,low,low
13,4,6,2,73,70.5,medium,average
14,3,6,7,69,59,medium,low
15,7,6.5,1,95,94.5,high,topper
16,5,7,2.5,82,78,medium,average
17,2.5,6,6.5,78,75,low,low
18,8,6,0.5,97,91,high,topper
19,5,7,3,66,74,low,average
20,6,6,1.5,91,93.5,medium,topper
21,3.5,6,4,73,69,medium,average
22,1,4,6,55,50.5,high,low
23,4.5,6.5,2.5,80,79,medium,average
24,7.5,6,0.5,96,89,high,topper
25,5,5.5,2,84,76.5,low,average
26,3,4,5.5,63,51.5,low,low
27,4,7,2,77,67,medium,average
28,1,5,5,63,42,high,low
29,3,6,4,70,68.5,low,average
30,6.5,7,1,93,90,medium,topper
